"Aligote";"blanc"
"Altesse";"blanc"
"Auxerrois";"blanc"
"Bergeron";"blanc"
"Bourboulenc";"blanc"
"Carignan blanc";"blanc"
"Chardonnay";"blanc"
"Chasselas";"blanc"
"Chenin";"blanc"
"Clairette";"blanc"
"Colombard";"blanc"
"Folle Blanche";"blanc"
"Grenache blanc";"blanc"
"Gros manseng";"blanc"
"Gros Plant";"blanc"
"Jaquere";"blanc"
"Len de l'el";"blanc"
"Maccabeu";"blanc"
"Marsanne";"blanc"
"Mauzac";"blanc"
"Melon";"blanc"
"Muscadelle";"blanc"
"Muscat à petits grains";"blanc"
"Muscat d'Alexandrie";"blanc"
"Muscat ottonel";"blanc"
"Orbois";"blanc"
"Petit manseng";"blanc"
"Pinot blanc";"blanc"
"Piquepoul";"blanc"
"Riesling";"blanc"
"Rolle";"blanc"
"Romorantin";"blanc"
"Roussanne";"blanc"
"Sauvignon";"blanc"
"Savagnin";"blanc"
"Semillon";"blanc"
"Sylvaner";"blanc"
"Terret blanc";"blanc"
"Ugni blanc";"blanc"
"Vermentino";"blanc"
"Viognier";"blanc"
"Grenache gris";"gris"
"Grolleau gris";"gris"
"Pinot gris";"gris"
"Sauvignon gris";gris
"Abouriou";"noir"
"Cabernet franc";"noir"
"Cabernet sauvignon";"noir"
"Carignan";"noir"
"Carmenere";"noir"
"Cinsault";"noir"
"Cot";"noir"
"Counoise";"noir"
"Duras";"noir"
"Fer";"noir"
"Gamay";"noir"
"Gamay de Bouze";"noir"
"Gamay de Chaudenay";"noir"
"Grenache noir";"noir"
"Grolleau";"noir"
"Lledoner Pelut";"noir"
"Malbec";"noir"
"Marselan";"noir"
"Merlot";"noir"
"Meunier";"noir"
"Mondeuse";"noir"
"Mourvedre";"noir"
"Muscat de Hambourg";"noir"
"Negrette";"noir"
"Niellucio";"noir"
"Petit verdot";"noir"
"Pineau d'Aunis";"noir"
"Pinot noir";"noir"
"Piquepoul noir";"noir"
"Poulsard";"noir"
"Sciaccarello";"noir"
"Syrah";"noir"
"Tannat";"noir"
"Terret noir";"noir"
"Tibouren";"noir"
"Trousseau";"noir"
"Clairette rose";"rose"
"Gewurztraminer";"rose"
"Savagnin rose";"rose"
"Muscat à petits grains rouges";"rouge"
